review,sentiment
এই টাকায় ভালো পন্য আপনার নিতে পারেন,Positive
আলহামদুলিল্লাহ অনেক ভালো একটা প্রোডাক্ট। সবাই নিতে পারেন,Positive
সেলারকে অনেক অনেক ধন্যবাদ ভালো মান সম্মত পণ্য এবং দ্রুত ডেলিভারী দেয়ার জন্য। আমি ছবি দেখে পণ্যের গুনগত মান যেমনটা ভেবেছিলাম তেমনটাই পেয়েছি। ইনশাআল্লাহ আপনারা এখান থেক ব্রা ক্রয় করলে ঠকবেন না।,Positive
আপনাদের পন্য আমি পেয়েছি। তবে একটা বিষয় হলো পন্য না দেখে টাকা দেওয়ার বিষয়টা পরিবর্তন করলে আমরা আরো আগ্রহী হতাম।,Positive
26 তারিখ অর্ডার দিয়েছে 29 তারিখ পেয়েছি খুব ভালো লাগলো প্রোডাক্ট যেরকম চেয়েছি সেরকম পেয়েছি আলহামদুলিল্লাহ ধন্যবাদ দারাজ কে,Positive
অনেক আহামরি টাইপের ভালো না। কিন্তু দাম অনুযায়ী রেগুলার ইউজের জন্যে পার্ফেক্ট! কাপরের কোয়ালিটি বেশ ভালো। আবার কিনবো ইনশাআল্লাহ!!,Positive
সেলার কে কথা দিয়েছিলাম যদি ভালো প্রডাক্ট পাই তাহলে অবশ্যই ৫ স্টার দিবো । কথা রাখলাম ৫ স্টার ই দিলাম আর আমি মনেহয় এই প্রডাক্ট এর ফাস্ট কাস্টমার । ১ কথায় এই প্রাইজে অসাধারণ প্রডাক্ট কোয়ালিটি,Positive
কালারগুলো ঠিকঠাক আসেনি। তারপরও মোটামুটি ভাল ছিল। ধন্যবাদ বিক্রেতাকে।,Positive
দাম অনুযায়ী খারাপ না। তবে এই ধরণের প্রোডাক্ট অনলাইনের প্রতি সবাই আগ্রহী হচ্ছে। তাই ক্রেতার চাহিদা অনুযায়ী ডেলিভারী দেওয়ার জন্য বিক্রেতাদের সর্বদা সক্রিয় থাকা উচিৎ।,Positive
প্রোডাক্ট কোয়ালিটি অনেক ভালো। তারথেকেও বেশী ভালো সেলারের মেসেঞ্জার রেসপন্স। এই দামে এত ভালো কোয়ালিটি পাব তা আশা করিনি। আপনারা নিশ্চিন্তে অর্ডার করতে পারেন।,Positive
আল-হামদুল্লিলাহ্ । ভাল প্রডাক্ট কিন্তু সাইজ আরেকটু বড় হলে ভালো হতো। তবে ভাল প্রডাক্ট। রিকমেন্ডড সেলার।,Positive
খুব সুন্দর প্রোডাক্ট। আমার পছন্দ হয়েছে। এত কম দামে এত ভালো প্রোডাক্ট ভাবাই যায় না। ছবিতে যেমন দেখেছি বাস্তবেও তাই পেয়েছি। ধন্যবাদ দারাজ,Positive
অনেক ধন্যবাদ দারাজ ....প্রডাক্ট কোয়ালিটি অনেক ভালো ছিলো যেমন আশা করছিলাম তেমন পেয়েছি । সাউন্ড কোয়ালিটি আমার কাছে খুবই ভালো লাগছে। এক কথায় 10/10 কোন কুমতি পাইনি। সেলারের ব্যবহার আমার কাছে খুবই ভালো লাগছে যে কালার চেয়েছি সেটাই পেয়েছি। কেউ চাইলে নিতে পারে ।,Positive
"দাম অনুযায়ী অনেক ভালো একটি প্রোডাক্ট, সাউন্ড কোয়ালিটি অনেক ভালো,,ধন্যবাদ দারাজ এবং সেলার কে সঠিক পন্য এবং সঠিক সময়ের মধ্যে দেওয়ার জন্য।",Positive
অর্ডার দিয়েছিলাম XXL ডেলিভারি পেলাম M সাইজ। তারপর কাপড় থেকে সুতা পর্যন্ত উঠে গেছে।,Negative
সাইজ কালার সব পারফেক্ট ছিল ধন্যবাদ সেলারকে যা চেয়েছি তাই দিয়েছে ডেলিভারি ম্যানও সময়মত ডেলিভারি দিয়েছে ধন্যবাদ দারাজ টিমকে।,Positive
লোক ঠকানো ব্যবসা হচ্ছে দেখান একটা দেন আরেকটা আর কখনো কোন জিনিস অর্ডার করবো না,Negative
যেমন টা ছিলো ঠিক তেমন টাই পেলাম৷ ধন্যবাদ দারাজ এবং সেলার কে। এই ভাবে সকল ক্ষেত্রে সঠিক মালামাল পৌছেদেওয়ার অনুরোধ রইলো,Positive
"রেট অনুযায়ী অনেক ভালো পোডাক্ট, ধন্যবাদ দারাজ কে এবং সেলার কে। ২ টা অর্ডার করেছিলাম দুই টাই খুব সুন্দর হয়েছে।",Positive
আলহামদুলিল্লাহ। কাপড় কোয়ালিটি মোটামুটি ভালো। সাবলিমেশন প্রিন্ট করে দিয়েছে জার্সি কাপড়ের উপরে।,Positive
অনেক সফট এবং সিল্কি। খুবই সফট এবং পাতলা হলেও গরম আছে। এবং বেস্ট প্যাকেজিং ছিলো। আমার রেটিং ১০/১০,Positive
প্রথম বার দারাজ থেকে পন্য ক্রয় করলাম।সব মিলিয়ে ভালোই আছে। আপনারা চাইলে নিতে পারেন  ধন্যবাদ দারাজ কে।,Positive
"খুবই বাজে এক্সপেরিয়েন্স.। আমি অর্ডার করেছিলাম ফুল স্লিভ, এমনকি অর্ডারের আগে সেলারের সাথে কথাও বলে নিয়েছিলাম, তিনি বলছে প্রোডাক্ট আছে.। কিন্তু ডেলিভারি দিসে হাফ স্লিপ.। সাইজ অনুযায়ী প্রোডাক্ট ফিটিংস হয়না.। এখন সেলার ম্যাসেজ সিন করেও রেসপন্স করেনা.। এদের জন্য দারাজ এর দুর্নাম হয়.।",Negative
